Well,CT 09/08,Mbru DNA 09/08,CT 19/12,Mbru DNA 19/12
A01,33.81,0.000193033,34.24,0.001577858304764
A02,20.49,1.128568697,23.615,1.37742512343217
A03,23.01,0.218711692,26.25,0.256862082938287
A04,29.65,0.002897877,33.155,0.003150619814558
A05,18.52,4.070464768,21.415,5.59793691564754
A06,29.48,0.003237099,31.935,0.006856334541719
A07,  No Ct ,#VALUE!,31.135,0.011416474212105
A08,20.23,1.336767875,23.815,1.21257329679134
A09,No sample,No sample,No sample,No sample
A10,No sample,No sample,No sample,No sample
A11,No sample,No sample,No sample,No sample
A12,No sample,No sample,No sample,No sample
B01,33.97,0.000173934,35.25,0.000828895916273
B02,33.14,0.000298613,35.6,0.000663162560945
B03,33.67,0.000211458,36.055,0.000496221983082
B04,19.42,2.265291002,22.465,2.86673797853293
B05,31.58,0.000824662,33.735,0.002176967773206
B06,19.86,1.700951772,22.92,2.14508250082264
B07,19.05,2.882438169,22.225,3.34056556473294
B08,32.21,0.000547157,34.54,0.001303250799428
B09,No sample,No sample,No sample,No sample
B10,No sample,No sample,No sample,No sample
B11,No sample,No sample,No sample,No sample
B12,No sample,No sample,No sample,No sample
C01,28.68,0.005449994,31.265,0.010508675946261
C02,18.64,3.764506055,21.38,5.72421582536444
C03,32.42,0.000477226,35.795,0.000585657892037
C04,30.96,0.001234844,33.42,0.002660994641473
C05,19.85,1.712064018,23.1,1.91258171745921
C06,19.55,2.081421326,22.36,3.06515188759769
C07,20.05,1.503003528,23.495,1.48690766415711
C08,22.96,0.22594982,26.025,0.296469485713693
C09,No sample,No sample,No sample,No sample
C10,No sample,No sample,No sample,No sample
C11,No sample,No sample,No sample,No sample
C12,No sample,No sample,No sample,No sample
D01,18.01,5.673773571,20.905,7.74811396466071
D02,19.5,2.150304679,22.335,3.11438285585618
D03,20.39,1.204503316,23.31,1.67298481859557
D04,34.36,0.000134925,34.54,0.001303250799428
D05,22.35,0.336139849,25.565,0.397473336119631
D06,21.66,0.526807562,24.42,0.824601271254251
D07,32.69,0.000400284,34.97,0.000990841070834
D08,18.79,3.414192469,21.605,4.95947836436482
D09,No sample,No sample,No sample,No sample
D10,No sample,No sample,No sample,No sample
D11,No sample,No sample,No sample,No sample
D12,No sample,No sample,No sample,No sample
E01,21.4,0.623993406,24.425,0.821977632951456
E02,18.85,3.283371317,21.755,4.50729517292309
E03,  No Ct ,#VALUE!,#DIV/0!,#DIV/0!
E04,19.77,1.803615671,22.695,2.47584812268739
E05,36.33,3.7409E-05,36.29,0.000427196808985
E06,21.57,0.558603947,24.08,1.02413215020272
E07,33.71,0.000206021,35.55,0.000684636422842
E08,34.8,0.000101312,35.59,0.000667402762584
E09,No sample,No sample,No sample,No sample
E10,No sample,No sample,No sample,No sample
E11,No sample,No sample,No sample,No sample
E12,No sample,No sample,No sample,No sample
F01,  No Ct ,#VALUE!,21.44,5.50944687849971
F02,19.19,2.631285667,22.22,3.35122818548719
F03,18.45,4.260298213,21.635,4.8655506736644
F04,20.47,1.143362647,23.465,1.51561187721463
F05,33.96,0.00017507,36.14,0.000470054267626
F06,34.61,0.000114655,36.53,0.000366602987696
F07,19.33,2.402016576,22.7,2.4679707033903
F08,28.59,0.005778938,32.135,0.006035760519919
F09,No sample,No sample,No sample,No sample
F10,No sample,No sample,No sample,No sample
F11,No sample,No sample,No sample,No sample
F12,No sample,No sample,No sample,No sample
G01,30.88,0.001300876,33.915,0.001941011015164
G02,  No Ct ,#VALUE!,35.5,0.0007068056297
G03,19.96,1.593719917,23.3,1.68368173272728
G04,33.93,0.000178524,34.485,0.001349745847388
G05,26.17,0.027939845,29.39,0.034717464492709
G06,32.64,0.000413531,36.8,0.000308645535955
G07,30.05,0.002233367,31.285,0.010375570841837
G08,18.23,4.916499508,21.585,5.02310203342776
G09,No sample,No sample,No sample,No sample
G10,No sample,No sample,No sample,No sample
G11,No sample,No sample,No sample,No sample
G12,No sample,No sample,No sample,No sample
H01,31.88,0.000678322,35.795,0.000585657892037
H02,20.04,1.512822587,23.505,1.47746091225851
H03,  No Ct ,#VALUE!,36.48,0.000378473956282
H04,26,0.031210448,36.465,0.000382109644958
H05,  No Ct ,#VALUE!,21.57,5.07135485208764
H06,19.65,1.950203807,22.98,2.06460036602991
H07,  No Ct ,#VALUE!,36.27,0.000432677189461
H08,31.07,0.001149487,33.96,0.00188613163803
H09,No sample,No sample,No sample,No sample
H10,No sample,No sample,No sample,No sample
H11,No sample,No sample,No sample,No sample
H12,No sample,No sample,No sample,No sample
